"Contact Us","Contact Us"
"Settings Contact Form","Settings Contact Form"
"Active","Active"
"Yes","Yes"
"No","No"
"Enables or disables changes to the contact form","Enables or disables changes to the contact form"
"Template of e-mail","Template of e-mail"
"Model of e-mail that will be sent to the merchant.","Model of e-mail that will be sent to the merchant."
"Options","Options"
"Delete","Delete"
"Add Option","Add Option"
"Registered Options","Registered Options"
"Add the desired options in contact form.","Add the desired options in contact form."
"Show telephone","Show telephone"
"Displays or removes the telephone field.","Displays or removes the telephone field."
"Show fax","Show fax"
"Displays or removes the fax field.","Displays or removes the fax field."
"Use mask in telephone and fax","Use mask in telephone and fax"
"Exclusive for pt_BR.","Exclusive for pt_BR."
"Works only for language pt_BR.","Works only for language pt_BR."
"Contact Us","Contact Us"
"Contact Information","Contact Information"
"This is a required field.","This is a required field."
"Please enter a valid email address. For example johndoe@domain.com.","Please enter a valid email address. For example johndoe@domain.com."
"Name","Name"
"Email","Email"
"Option","Option"
"Choose options...","Choose options..."
"Subject","Subject"
"Others","Others"
"Telephone","Telephone"
"Fax","Fax"
"Comment","Comment"
"* Required Fields","* Required Fields"
"Submit","Submit"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us."
"Unable to submit your request. Please, try again later","Unable to submit your request. Please, try again later."
